depth;name;parent_code_kemendagri;code_kemendagri
4;PRAPAT BATU NUNGGUL;11.02.01;11.02.01.2015
4;PULO SEPANG;11.02.01;11.02.01.2016
4;RIH MBELANG;11.02.01;11.02.01.2017
4;KUTE BATU BARU;11.02.01;11.02.01.2018
4;DARUL AMIN;11.02.01;11.02.01.2019
4;LAWE LUBANG INDAH;11.02.01;11.02.01.2020
4;BATU HAMPARAN;11.02.01;11.02.01.2021
4;PAYE MUNJE;11.02.01;11.02.01.2022
4;PULO NDAPDAP;11.02.01;11.02.01.2023
4;PASIR NUNGGUL;11.02.01;11.02.01.2024
4;CINGKHAM MEKHANGGUN;11.02.01;11.02.01.2025
4;PINTU KHIMBE;11.02.01;11.02.01.2026
4;LAWE KONGKER HILIR;11.02.01;11.02.01.2027
4;PULO GADUNG;11.02.01;11.02.01.2028
4;PASIKH PEHKMATE;11.02.01;11.02.01.2029
4;PASIKH NUNANG;11.02.01;11.02.01.2030
4;DELENG KUKUSEN;11.02.01;11.02.01.2031
3;LAWE SIGALA-GALA;11.02;11.02.02
4;BUKIT MERDEKA;11.02.02;11.02.02.2001
4;DARUL AMAN;11.02.02;11.02.02.2002
4;LAWE KESUMPAT;11.02.02;11.02.02.2003
4;LAWE TUA GABUNGAN;11.02.02;11.02.02.2004
4;LAWE SIGALA II;11.02.02;11.02.02.2005
4;LAWE SIGALA TIMUR;11.02.02;11.02.02.2006
4;LAWE SIGALA BARAT;11.02.02;11.02.02.2007
4;SUKA DAMAI;11.02.02;11.02.02.2008
4;KUTE TENGAH;11.02.02;11.02.02.2009
4;TANAH BARU;11.02.02;11.02.02.2010
4;KEDATARAN  GABUNGAN;11.02.02;11.02.02.2011
4;GABUNGAN  PARSAROAN;11.02.02;11.02.02.2012
4;LAWE LONING GABUNGAN;11.02.02;11.02.02.2013
4;LAWE LONING AMAN;11.02.02;11.02.02.2014
4;SUKA MAJU;11.02.02;11.02.02.2015
4;LAWE TUA MAKMUR;11.02.02;11.02.02.2016
4;LAWE TUA PERSATUAN;11.02.02;11.02.02.2017
4;LAWE SERKE;11.02.02;11.02.02.2018
